Département,Numéro Circonscription,Numéro Panneau,Nom,Prénom,Civilité,Nuance Ministère,Nuance agrégée par Le Monde,Parti agrégé par Le Monde
075,12,9,MALAISÉ,Céline,Mme,NUP,PCF-Nupes,Parti communiste français
075,12,3,GREGOIRE,Olivia,Mme,ENS,LRM-Ensemble,La République en marche
075,12,7,MINEV,Michael,M.,DIV,div.,divers inclassable
075,12,8,DELINOT,Annel,Mme,DIV,div.,divers inclassable
075,12,2,BOULEY,Chloé,Mme,UDI,UDI,Union des démocrates et indépendants
075,12,1,DE CLINCHAMP-BELLEGARDE,Benoît,M.,REC,Rec.,Reconquête !
075,12,5,MONCHAL,Muriel,Mme,DXG,LO,Lutte ouvrière
075,13,2,MARINHO,Mickaël,M.,DVC,Rés.,Résistons !
075,13,3,FUSI,Muriel,Mme,ECO,Anim.,Parti animaliste
075,13,1,JEANNETÉ,Nicolas,M.,DVD,LCen.,Les Centristes
075,13,4,DARGHAM,Pierre,M.,DVG,div. g.,Divers gauche
075,13,11,MOREL,Daniele,Mme,DVG,div. g.,Divers gauche
075,13,9,NIAKATÉ,Aminata,Mme,NUP,EELV-Nupes,Europe Ecologie-Les Verts
075,13,8,TRAINAR,Nadia,Mme,DVC,div. c.,divers centre
075,13,10,BOLVIN,Isabelle,Mme,RN,RN,Rassemblement national
075,13,13,BOURSE-PROVENCE,Dominique,M.,DSV,Pat.,Les Patriotes
075,13,6,MALLET,Maïalen,Mme,DVG,div.,divers inclassable
075,13,5,ROETHLISBERGER,Corinne,Mme,DXG,LO,Lutte ouvrière
075,13,7,EVANGELISTA,Ornella,Mme,REC,Rec.,Reconquête !
075,13,12,AMIEL,David,M.,ENS,LRM-Ensemble,La République en marche
075,14,1,SZPINER,Francis,M.,LR,LR,Les Républicains
075,14,10,MAURY,Julie,Mme,NUP,LFI-Nupes,La France insoumise
075,14,2,KRATZ,Catherine,Mme,DVC,Rés.,Résistons !
